1,Бег на тренажере,2,,
2,Бег на улице,2,,
3,Cycle занятие,3,,
4,Катание на велосипеде,3,,
5,Кроль,4,,
6,Брасс,4,,
7,Кроль на спине,,
8,Жим лежа,1,1,
9,Французский жим,1,5,
10,Тяга блока к поясу сидя,1,1,
11,Тяга блока к груди сидя,1,6,
12,Жим сидя с груди,1,2,
13,Жим сидя из-за головы,1,2,
14,Тяга гантели одной рукой стоя в наклоне,1,6,
15,Шраги,1,6,
16,Разгибание рук на верхнем блоке,1,5,
17,Разведение рук с гантелями,1,3,
18,Поочередное сгибание рук с гантелями,1,4,
19,Концентрированное сгибание рук,1,4,
20,Сгибание рук на скамье Скотта,1,4,
21,Разгибание одной руки с гантелью из-за головы,1,5,
22,Отжимания трицепсами спиной к скамье,1,5,
23,Разгибание рук с рукояткой верхнего блока хватом снизу,1,5,
24,Подъем рук с гантелями перед собой,1,2,
25,Обратные разведения в тренажере,1,2,
26,Тяга верхнего блока за голову,1,6,
27,Разгибания рук с гантелью,1,5,
28,Подъем штанги на бицепс,1,4,
29,Тяга штанги к подбородку,1,2,
30,Отжимания на брусьях,1,1,
31,Подъем гантелей на бицепс,1,4,
32,Жим гантелей сидя,1,2,
33,Жим лежа узким хватом,1,5,
